"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Get file with incorrect file id","tests.files","Sun Sep 14 16:15:10 GMT 2025","passed","Sun Sep 14 16:15:11 GMT 2025","Validate entity","test_files","",""
"","13","Get user me","LMS service","Sun Sep 14 16:15:12 GMT 2025","passed","Sun Sep 14 16:15:12 GMT 2025","Get entity","Users","",""
"","261","Create file with empty filename","tests.files","Sun Sep 14 16:15:09 GMT 2025","passed","Sun Sep 14 16:15:10 GMT 2025","Validate entity","test_files","",""
"","19","Delete file","tests.files","Sun Sep 14 16:15:09 GMT 2025","passed","Sun Sep 14 16:15:09 GMT 2025","Delete entity","test_files","",""
"","260","Create file with empty directory","tests.files","Sun Sep 14 16:15:10 GMT 2025","passed","Sun Sep 14 16:15:10 GMT 2025","Validate entity","test_files","",""
"","296","Create course","LMS service","Sun Sep 14 16:15:05 GMT 2025","passed","Sun Sep 14 16:15:06 GMT 2025","Create entity","Courses","",""
"","306","Update course","LMS service","Sun Sep 14 16:15:04 GMT 2025","passed","Sun Sep 14 16:15:04 GMT 2025","Update entity","Courses","",""
"","556","Login with correct email and password","LMS service","Sun Sep 14 16:15:03 GMT 2025","passed","Sun Sep 14 16:15:04 GMT 2025","Login","Authentication","",""
"","291","Delete exercise","LMS service","Sun Sep 14 16:15:08 GMT 2025","passed","Sun Sep 14 16:15:08 GMT 2025","Delete entity","Exercises","",""
"","554","Create user","LMS service","Sun Sep 14 16:15:11 GMT 2025","passed","Sun Sep 14 16:15:11 GMT 2025","Create entity","Users","",""
"","287","Create user","LMS service","Sun Sep 14 16:15:11 GMT 2025","passed","Sun Sep 14 16:15:11 GMT 2025","Create entity","Users","",""
"","24","Get courses","LMS service","Sun Sep 14 16:15:05 GMT 2025","passed","Sun Sep 14 16:15:05 GMT 2025","Get entities","Courses","",""
"","288","Update exercise","LMS service","Sun Sep 14 16:15:07 GMT 2025","passed","Sun Sep 14 16:15:07 GMT 2025","Update entity","Exercises","",""
"","17","Get exercises","LMS service","Sun Sep 14 16:15:08 GMT 2025","passed","Sun Sep 14 16:15:08 GMT 2025","Get entities","Exercises","",""
"","17","Get exercise","LMS service","Sun Sep 14 16:15:07 GMT 2025","passed","Sun Sep 14 16:15:07 GMT 2025","Get entity","Exercises","",""
"","544","Create user","LMS service","Sun Sep 14 16:15:10 GMT 2025","passed","Sun Sep 14 16:15:11 GMT 2025","Create entity","Users","",""
"","294","Create exercise","LMS service","Sun Sep 14 16:15:06 GMT 2025","passed","Sun Sep 14 16:15:06 GMT 2025","Create entity","Exercises","",""
